country,year,tonnes,type,mineral,fobvalue,trade_concentration_index,stability_index,political_risk_index,stability_scaled,trade_scaled,risk_scaled,risk_score
Indonesia,2023,840000.0,mine,copper,10698532590.762,0.09055718131421082,28.9099521636963,-27.9099521636963,0.314814814699803,0.09055718131421082,0.6851851853001971,0.5067967841044012
Japan,2023,0.0,mine,copper,17943495864.817,0.15194498098311995,81.5165863037109,-80.5165863037109,1.0,0.15194498098311995,0.0,0.04558349429493599
Kazakhstan,2023,600000.0,mine,copper,6171495377.62,0.05219882903252776,36.4928894042969,-35.4928894042969,0.4135802336105071,0.05219882903252776,0.586419766389493,0.42615348518240337
Mexico,2023,750000.0,mine,copper,6657274254.0,0.05631491564588508,22.748815536499,-21.748815536499,0.23456791028219146,0.05631491564588508,0.7654320897178086,0.5526969374962315
Peru,2023,2600000.0,mine,copper,23384639542.77,0.19804871200796742,24.1706161499023,-23.1706161499023,0.2530864247752839,0.19804871200796742,0.7469135752247162,0.5822541162596915
Poland,2023,400000.0,mine,copper,5315639913.0,0.044947020870051375,63.9810409545898,-62.9810409545898,0.7716049299523916,0.044947020870051375,0.2283950700476085,0.1733606552943413
South Korea,2023,0.0,mine,copper,12191085703.0,0.10320383637420136,68.2464447021484,-67.2464447021484,0.8271604982742976,0.10320383637420136,0.17283950172570262,0.15194880212025214
United States,2023,1100000.0,mine,copper,14992887244.0,0.12694397489593642,47.3933639526367,-46.3933639526367,0.5555555527952637,0.12694397489593642,0.4444444472047364,0.3491943055120964
Zambia,2023,760000.0,mine,copper,6787100951.754,0.05741495922263297,52.1327018737793,-51.1327018737793,0.6172839675624101,0.05741495922263297,0.3827160324375901,0.28512571047310287
Australia,2023,450000.0,refinery,copper,8260974936.3810005,0.06990334287386696,79.620849609375,-78.620849609375,0.97530861421904,0.06990334287386696,0.024691385780960085,0.0382549729088321
Canada,2023,310000.0,refinery,copper,8392579789.651,0.07101845306316583,76.3033142089844,-75.3033142089844,0.9320987387876148,0.07101845306316583,0.06790126121238538,0.06883641876761942
Chile,2023,2000000.0,refinery,copper,43831076428.985,0.37129483128214386,50.2369651794434,-49.2369651794434,0.59259258178145,0.37129483128214386,0.4074074182185501,0.39657364213762814
China,2023,12000000.0,refinery,copper,102157182967.0,0.865501800756415,25.1184825897217,-24.1184825897217,0.26543209282313734,0.865501800756415,0.7345679071768627,0.7738480752507284
Germany,2023,610000.0,refinery,copper,12723693843.038,0.10771671526204468,66.3507080078125,-65.3507080078125,0.8024691124933375,0.10771671526204468,0.1975308875066626,0.17058663583327716
Indonesia,2023,200000.0,refinery,copper,10698532590.762,0.09055718131421082,28.9099521636963,-27.9099521636963,0.314814814699803,0.09055718131421082,0.6851851853001971,0.5067967841044012
Japan,2023,1500000.0,refinery,copper,17943495864.817,0.15194498098311995,81.5165863037109,-80.5165863037109,1.0,0.15194498098311995,0.0,0.04558349429493599
Kazakhstan,2023,440000.0,refinery,copper,6171495377.62,0.05219882903252776,36.4928894042969,-35.4928894042969,0.4135802336105071,0.05219882903252776,0.586419766389493,0.42615348518240337
